assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	subject_1	subject_1_category	subject_1_target	subject_1_target_macromolecule	subject_1_fluorophore	subject_1_calculated_copies_per_reaction	subject_1_copies_per_reaction	subject_1_result	subject_2	subject_2_category	subject_2_target	subject_2_target_macromolecule	subject_2_fluorophore	subject_2_calculated_copies_per_reaction	subject_2_copies_per_reaction	subject_2_result	subject_3	subject_3_category	subject_3_target	subject_3_target_macromolecule	subject_3_fluorophore	subject_3_copies_per_reaction	subject_3_result	subject_4	subject_4_category	subject_4_target	subject_4_target_macromolecule	subject_4_fluorophore	subject_4_copies_per_reaction	subject_4_result	notes
A02-0454.a1	A02-0454.e1	AP66	A03	0.005	Direct Quantification	7469	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
A02-0455.a1	A02-0455.e1	AP66	A04	0.005	Direct Quantification	16051	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	63.11895847	112430.6448	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	60.17943382	107194.6165								Human	Internal Control	Human RNase P	RNA	HEX	24.93377209	44413.28153	
A02-0456.a1	A02-0456.e1	AP66	A05	0.005	Direct Quantification	7672	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
A03-0299.a1	A03-0299.e1	AP66	A06	0.005	Direct Quantification	9355	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
A03-0300.a1	A03-0300.e1	AP66	A07	0.005	Direct Quantification	16592	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	2.836406827	5052.349661	
A03-0310.a1	A03-0310.e1	AP66	A08	0.005	Direct Quantification	15209	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	27.86377907	49632.35646	
A01-0225.a1	A01-0225.e1	AP66	B01	0.005	Direct Quantification	15443	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	15.24123073	27148.44223	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	13.71666431	24432.80831								Human	Internal Control	Human RNase P	RNA	HEX	1.523679048	2714.053304	
A01-0226.a1	A01-0226.e1	AP66	B02	0.005	Direct Quantification	15538	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	31.82210445	56683.12356	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	33.33851576	59384.23119								Human	Internal Control	Human RNase P	RNA	HEX	27.27345228	48580.83688	
A04-0055.a1	A04-0055.e1	AP66	B03	0.005	Direct Quantification	13939	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	32.09439754	57168.14563	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	21.95459366	39106.61995								Human	Internal Control	Human RNase P	RNA	HEX	3.376296759	6014.028601	
A04-0056.a1	A04-0056.e1	AP66	B04	0.005	Direct Quantification	15820	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	68.51641178	122044.8585	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	50.62332153	90172.79148								Human	Internal Control	Human RNase P	RNA	HEX	5.950034261	10598.49853	
