concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
CP51	12/17/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP52	12/21/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP53	12/22/21	10	0.475	Ceres Nanotrap	NT04774	Halcyon	AJ	
CP54	1/3/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	JL	
CP55	1/4/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP56	1/6/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP57	1/10/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP58	1/11/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	aj	
CP59	1/13/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP60	1/19/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP61	1/19/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP62	1/20/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP63	1/21/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP64	1/24/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP65	1/25/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP66	1/26/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP67	1/28/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP68	1/31/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP69	2/1/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP7	9/2/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP70	2/2/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP71	2/4/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	LW	
CP72	2/7/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP73	2/9/22	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP74	2/10/22	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP76	2/14/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP77	2/14/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP78	2/15/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP79	2/16/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP8	9/3/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP80	2/18/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP81	2/18/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP82	2/21/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP83	2/23/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP84	2/23/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP85	2/25/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	JL	
CP86	2/28/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP87	3/2/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	aj	
CP88	3/2/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP89	3/4/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP9	9/8/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP90	3/4/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP91	3/9/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP92	3/9/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP93	3/10/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP94	3/11/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP95	3/11/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP96	3/15/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP97	3/16/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
