assay_plate_id	assay_date	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_method	assay_method_lot_id	assay_machine	assay_run_by	assay_plate_comment
AP73	4/29/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP74	5/2/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP75	5/4/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60394497	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP76	5/5/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60394497	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP77	5/9/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP78	5/11/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP79	5/12/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP80	5/16/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP81	5/18/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP82	5/19/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP83	5/20/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64464142	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
