Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
N03-0239	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	01/06/2023 07:30 AM	01/07/2023 07:30 AM	01/11/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.76877	2391	2594	6958.0721628687	7548.8244209458	3.75503084882283	4.07383940687847	2421.99691906795	3086.28411297848	6374.18553032225	8072.19578886217	3.43992743136657	4.35628482939135	1524.8	1363.89062604273	4104.99575276224	3961.54978858454	2.21532420548421	2.13791138077957
A02-0856	higher ed dorm	upstream	Sewer Network	Residential	105612	MtValley-01	active	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	48-hr time-weighted composite	Mountain Valley Apartments	26505	Captures all of Mountain Valley	-79.9657691	39.6727656	-1	Monongalia	-1	NA	NA	NA	2622.8459738195	571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0846	higher ed dorm	upstream	Sewer Network	Dormitory	105612	TowersBB-01	active	12/01/2022 09:00 AM	12/03/2022 09:00 AM	12/07/2022	48-hr time-weighted composite	WVU Brooke & Braxton Towers	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers	-79.9663361	39.6495489	904	Monongalia	-1	NA	NA	NA	4127.6109823957	2063.75479465351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R02-0208	not institution specific	wwtp	WWTP	WWTP	28695	ElkinsWWTP-01	active	12/08/2022 06:00 AM	12/09/2022 06:00 AM	12/14/2022	24-hr time-weighted composite	Elkins	26241		-79.86543	38.92026	13156	Randolph	4.99	NA	NA	3.7151	1542	1675	21685.418457522	23555.820957425	1.64832916217102	1.79050022479667	3471.05114046335	5668.11576718655	60777.0977701036	146152.925917548	4.61972467088048	11.1092220977158	768.4	1122.55800159263	12209.381163308	22270.5371767519	0.928046607122834	1.692804589294
G01-0300	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	12/10/2022 09:00 AM	12/11/2022 09:00 AM	12/19/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.745	82055.2629232407	848	231406.545552587	2391.4706216	28.3308699256351	0.292785335651322	59993.7576055526	30909.4136895802	176500.782800689	81472.2394392645	21.6088127816711	9.9745640841411	1170.4	1190.84511890692	3477.408601186	3544.73218468127	0.425735626981636	0.433977985391928
G01-0286	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	11/29/2022 09:00 AM	11/30/2022 09:00 AM	12/02/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.703	8896.13564126195	2099	23673.8911349059	5585.73963977	2.89837060907272	0.683856469119736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L01-0360	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	02/24/2023 09:00 AM	02/25/2023 09:00 AM	03/01/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.353	1155	1290	1543.36843815	1723.7621517	2.73646886196809	3.05631587180851	2088.41790610552	2888.02743326229	3093.86673089529	4734.54727041776	5.48557931009804	8.39458735889674	944.8	2116.404026013	1189.978459272	2515.21793081896	2.10989088523404	4.4596062603173
A04-0237	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	12/27/2022 08:00 AM	12/28/2022 08:00 AM	12/28/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	NA	NA	0.6	1620	140	3679.41852	317.97444	1.83970926	0.15898722	12148.2534107924	45130.9161039342	33697.7016161159	127850.748769787	16.848850808058	63.9253743848935	744.4	1125.88622465162	1673.988552692	2488.92758755336	0.836994276346	1.24446379377668
T01-0083	not institution specific	wwtp	WWTP	WWTP	26700	PointPleasantWWTP-01	active	12/21/2022 07:00 AM	12/22/2022 07:00 AM	12/28/2022	24-hr time-weighted composite	Point Pleasant	25550		-82.1351148	38.8567084	5515	Mason	0.7	NA	NA	0.22	1954.70294449478	2705	1627.8574560864	2252.697491	0.295169076352928	0.408467360108794	10142.9006453961	33631.899888461	18871.9007366625	63981.6796457828	3.42192216439937	11.6013925015019	1816.7148030214	1682.07590984138	2496.71874227199	947.985308277419	0.452714187175338	0.171892168318662
M04-0163	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	active	12/15/2022 12:00 AM	12/16/2022 12:00 AM	01/04/2023	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	NA	NA	0.347	990	1941	1300.4018973	2549.57584107	2.13180638901639	4.17963252634426	1436.0548114717	1341.15573177643	1205.15383104151	2023.76581428633	1.97566201810083	3.31764887587923	1588	1658.30174708851	1025.996769318	1726.55013121416	1.68196191691475	2.83041005117075
