assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
B01-0576.a5	B01-0576	08/28/2023 7:00	08/29/2023 7:00	Routine Surveillance	10	Pass	CharlestonWWTP-01	Human	RNase P	ZooWVU	9479.11246875	9479.11246875	18.9582249375	358823.271303309	717.646542606619	100	NA	NA	Missing controls: HEX
A02-0911.a3	A02-0911	01/07/2023 9:00	01/09/2023 9:00	Routine Surveillance		Pass	TowersBB-01	Human	RNase P	ZooWVU	366788.4941625	183394.24708125	20286.9742346516	NA	NA	100	NA	NA	Missing controls: HEX
R02-0327.a2	R02-0327	07/18/2023 6:00	07/19/2023 6:00	Routine Surveillance	3.429	Pass	ElkinsWWTP-01	SARS-CoV-2	N2	ZooWVU	29141.626520625	29141.626520625	221.508258746009	378263.292250269	2875.21505206954	100	5.47893882	NA	yes
R01-0174.a3	R01-0174	11/09/2022 9:00	11/10/2022 9:00	Routine Surveillance	0.164	Pass	HuttonsvilleWWTP-01	Human	RNase P	ZooWVU	9173.824779375	9173.824779375	436.640874791766	5695.1768415274	271.069816350662	100	NA	NA	Missing controls: HEX
E02-0007.a1	E02-0007	11/10/2021 8:00	11/11/2021 8:00	Routine Surveillance		Pass	AthensWWTP-01	SARS-CoV-2	N1	ZooWVU	10991.42701	10991.42701	459.700000418235	NA	NA	100	0	22182.82012	yes
Q01-0433.a1	Q01-0433	08/11/2023 9:00	08/12/2023 8:00	Routine Surveillance	0.314	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	116630.57372625	116630.57372625	2560.49558125686	138629.285587972	3043.4530315691	100	0	NA	yes
A04-0419.a1	A04-0419	05/08/2023 0:00	05/09/2023 0:00	Routine Surveillance	0.612	Pass	CheatLakeWWTP-01	SARS-CoV-2	N1	ZooWVU	65511.9155925	65511.9155925	3275.595779625	151769.549766639	7588.47748833197	100	0	752.9010008	yes
T01-0205.a3	T01-0205	08/15/2023 7:00	08/16/2023 7:00	Routine Surveillance	0.98	Pass	PointPleasantWWTP-01	Human	RNase P	ZooWVU	21181.126648125	21181.126648125	384.063946475521	78575.6636525773	1424.76271355535	100	NA	NA	Missing controls: HEX
K01-0223.a3	K01-0223	01/19/2023 6:30	01/20/2023 6:30	Routine Surveillance	10.656	Pass	ParkersburgWWTP-01	Human	RNase P	ZooWVU	9965.5455525	9965.5455525	20.7399491207076	401983.489217057	836.594150295645	100	NA	NA	Missing controls: HEX
H01-0377.a2	H01-0377	10/17/2022 8:00	10/18/2022 8:00	Routine Surveillance	1.4	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	367543.58064375	367543.58064375	3062.86317203125	1947824.40384652	16231.8700320543	100	5.34744144	27.40625382	yes
C01-0383.a1	C01-0383	03/28/2023 7:00	03/29/2023 7:00	Routine Surveillance	11.987	Pass	WheelingWWTP-01	SARS-CoV-2	N1	ZooWVU	189165.996009375	189165.996009375	378.33199201875	8583541.31435778	17167.0826287156	100	0	700.9694672	yes
N02-0454.a11	N02-0454	05/12/2024 07:00 AM	05/13/2024 07:00 AM	Routine Surveillance	12.661	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	4363.95959928631	4363.95959928631	16.4690150173081	209151.823419564	789.311734544359	100	0.797033061583837	NA	yes
