archive_batch_id	archive_batch_comment	archive_batch_record_version	archive_date	archive_eluant	archive_input_ml	archive_machine	archive_method	archive_method_lot_id	archive_output_ml	archive_run_by
R01-0016.RB3940		1.0		Zymo DNA/RNA Shield						
E02-0182.RB69		1.0		Zymo DNA/RNA Shield						
T01-0008.RB7121		1.0		Zymo DNA/RNA Shield						
C01-0125.RB5699		1.0		Zymo DNA/RNA Shield						
T01-0096.RB1613		1.0		Zymo DNA/RNA Shield						
H01-0164.RB2231		1.0		Zymo DNA/RNA Shield						
Q01-0036.RB119		1.0		Zymo DNA/RNA Shield						
B01-0232.RB2374		1.0		Zymo DNA/RNA Shield						
N03-0058.RB318		1.0		Zymo DNA/RNA Shield						
O01-0038.RB2035		1.0		Zymo DNA/RNA Shield						
A02-1049.RB4827		1.0		Zymo DNA/RNA Shield						
A01-0385.RB666		1.0		Zymo DNA/RNA Shield						
A02-0751.RB2190		1.0		Zymo DNA/RNA Shield						
D01-0069.RB4574		1.0		Zymo DNA/RNA Shield						
A02-0219.RB3647		1.0		Zymo DNA/RNA Shield						
A02-0712.RB2397		1.0		Zymo DNA/RNA Shield						
G01-0123.RB4616		1.0		Zymo DNA/RNA Shield						
A04-0066.RB6695		1.0		Zymo DNA/RNA Shield						
Q01-0156.RB4772		1.0		Zymo DNA/RNA Shield						
Q01-0178.RB4990		1.0		Zymo DNA/RNA Shield						
G01-0235.RB3149		1.0		Zymo DNA/RNA Shield						
A02-0742.RB797		1.0		Zymo DNA/RNA Shield						
R02-0198.RB198		1.0		Zymo DNA/RNA Shield						
T01-0090.RB34		1.0		Zymo DNA/RNA Shield						
A02-0142.RB2516		1.0		Zymo DNA/RNA Shield						
M04-0123.RB4333		1.0		Zymo DNA/RNA Shield						
B01-0226.RB4804		1.0		Zymo DNA/RNA Shield						
R02-0117.RB5899		1.0		Zymo DNA/RNA Shield						
M04-0105.RB4449		1.0		Zymo DNA/RNA Shield						
A01-0302.RB6826		1.0		Zymo DNA/RNA Shield						
A1083.RB3568		1.0		Zymo DNA/RNA Shield						
O01-0209.RB4158		1.0		Zymo DNA/RNA Shield						
A02-0286.RB5951		1.0		Zymo DNA/RNA Shield						
G01-0087.RB1701		1.0		Zymo DNA/RNA Shield						
J01-0230.RB6623		1.0		Zymo DNA/RNA Shield						
C01-0057.RB1081		1.0		Zymo DNA/RNA Shield						
A04-0341.RB7145		1.0		Zymo DNA/RNA Shield						
J01-0067.RB5705		1.0		Zymo DNA/RNA Shield						
A02-0734.RB5743		1.0		Zymo DNA/RNA Shield						
A02-0983.RB2442		1.0		Zymo DNA/RNA Shield						
K01-0218.RB324		1.0		Zymo DNA/RNA Shield						
D01-0082.RB663		1.0		Zymo DNA/RNA Shield						
A01-0454.RB301		1.0		Zymo DNA/RNA Shield						
H01-0333.RB1955		1.0		Zymo DNA/RNA Shield						
