concentration_id	concentration_batch_id	concentration_comment	concentration_location_in_batch	sample_id
O01-0162.c2698	CP248		D03	
A03-0368.c2277	CP159		D04	
A1090.c2920	CP0.9			
N02-0107.c1200	CP234		B01	
J01-0150.c915	CP247		D02	
H01-0317.c4241	CP224		A02	
R01-0061.c2796	CP167		B03	
A01-0304.c5141	CP189		A01	
H01-0235.c3554	CP161		D01	
A02-0118.c512	CP16		A06	
A02-0059.c6375	CP5		D06	
D01-0284.c164	CP353		C05	
H01-0101.c2717	CP62		D05	
M04-0176.c4787	CP347		C01	
A04-0336.c4958	CP361		B05	
B01-0236.c153	CP201		C04	
H01-0332.c5386	CP233		D04	
L01-0333.c2124	CP338		A04	
A02-0412.c6973	CP136		C01	
A04-0032.c2159	CP95		C02	
O01-0160.c1143	CP236		A05	
H01-0490.c4977	CP339		D01	
L01-0118.c3423	CP152		A03	
N02-0249.c2889	CP321		B01	
N02-0119.c4036	CP189		B01	
H01-0331.c2793	CP233		D03	
A02-0784.c738	CP268		C04	
L01-0083.c2118	CP123		A01	
A0232.c1196	CS11			
A03-0329.c6184	CP137		A03	
A1109.c6263	CP0.9			
R02-0017.c396	CP174		C04	
S01-0048.c6208	CP98		B03	
A02-0763.c6470	CP277		A06	
A03-0030.c2101	CP16		C03	
A01-0255.c931	CP150		B02	
A04-0191.c4721	CP248		B06	
A02-0586.c533	CP232		B02	
C01-0126.c6152	CP101		C06	
A01-0372.c4937	CP251		B03	
H01-0192.c1454	CP126		A05	
A04-0117.c5686	CP188		A04	
A02-0202.c1963	CP31		C04	
A01-0279.c5265	CP172		A03	
A03-0309.c47	CP128		A04	
B01-0430.c2547	CP357		B04	
A02-0095.c5630	CP11		B02	
A02-0398.c1281	CP96		B03	
A02-1152.c1089	CP372		B02	
B01-0096.c5212	CP70		A06	
O01-0290.c4652	CP360		A01	
O01-0260.c5486	CP347		B02	
O01-0095.c4002	CP167		D01	
R01-0041.c3319	CP108		C04	
A02-1137.c7056	CP368		D03	
A01-0428.c5540	CP296		C02	
K01-0199.c1605	CP278		C01	
L01-0285.c6335	CP297		A06	
M04-0127.c7551	CP264		B01	
C01-0156.c1759	CP128		B03	
K01-0209.c1812	CP355		B03	
C01-0238.c5683	CP214		B04	
A04-0004.c3258	CP69		B01	
C01-0352.c899	CP341		A02	
A02-0631.c1482	CP239		C01	
N03-0002.c1865	CP102		C05	
L01-0019.c1966	CP70		D04	
B01-0152.c4175	CP144		D06	
B01-0167.c4562	CP115		D01	
M04-0146.c2951	CP291		A06	
C01-0064.c3840	CP56		A02	
R01-0079.c5483	CP223		D03	
P01-0017.c5360	CP77		C03	
K01-0075.c7195	CP134		C01	
K01-0139.c5871	CP208		A03	
N02-0175.c5768	CP255		B01	
A03-0229.c1478	CP104		D04	
L01-0080.c6034	CP134		A01	
N02-0280.c4740	CP361		C03	
A03-0154.c7053	CP52		D03	
B01-0054.c434	CP43		C06	
B01-0055.c3807	CP43		D01	
A02-0383.c3862	CP91		A02	
M04-0016.c6735	CP103		B05	
L01-0078.c1519	CP129		C05	
E02-0210.c7203	CP267		D03	
L01-0062.c6187	CP109		B01	
A02-0838.c4823	CP288		A04	
L01-0058.c2323	CP113		A04	
D01-0130.c157	CP206		C04	
S01-0053.c4325	CP193		D01	
N03-0298.c7331	CP365		A05	
G01-0275.c2248	CP227		B01	
M03-0197.c6665	CP328		B01	
A03-0063.c668	CP35		A03	
D01-0094.c281	CP170		C02	
A03-0344.c1766	CP144		B05	
A01-0403.c4165	CP277		C04	
M03-0187.c4112	CP331		D01	
N03-0098.c5120	CP145		C06	
N03-0038.c2728	CP93		B01	
A02-0542.c537	CP219		D05	
Q01-0273.c5971	CP345		B05	
O01-0069.c3065	CP140		C03	
J01-0071.c1682	CP172		D05	
N02-0102.c5715	CP189		A05	
R01-0142.c2180	CP251		D04	
R02-0192.c270	CP316		B01	
L01-0130.c4974	CP168		A02	
N02-0067.c2714	CP118		A06	
R01-0074.c305	CP183		C06	
A02-0927.c1678	CP318		B04	
N03-0095.c4691	CP162		D05	
B01-0222.c7069	CP228		C05	
A02-0978.c1179	CP325		B05	
A02-0637.c2127	CP243		B03	
A03-0029.c3176	CP16		C02	
Q01-0070.c885	CP193		A06	
N03-0187.c4784	CP252		C03	
A02-0608.c5595	CP221		B05	
J01-0214.c2326	CP328		C05	
N02-0147.c4826	CP205		B02	
A04-0302.c3961	CP326		A03	
A04-0326.c9	CP349		C05	
A02-0435.c3578	CP116		A02	
H01-0324.c2850	CP229		A06	
A02-0123.c7206	CP16		D02	
A03-0157.c1763	CP52		C05	
A1061.c4067	CP0.7			
A01-0032.c1438	CP11		A03	
R01-0022.c6058	CP124		C01	
L01-0167.c4707	CP177		B03	
G01-0316.c2274	CP350		C05	
N02-0090.c4342	CP154		D04	
R01-0002.c149	CP140		D02	
A02-1122.c6412	CP363		B05	
M04-0121.c4220	CP264		A05	
A01-0475.c202	CP332		B06	
T01-0118.c7140	CP368		D05	
O01-0292.c6849	CP360		A02	
Q01-0025.c6260	CP159		A04	
M04-0006.c1368	CP103		B03	
A01-0046.c4085	CP8		A03	
D01-0182.c6612	CP246		A04	
O01-0268.c5915	CP337		C06	
M04-0195.c445	CP333		D04	
A03-0089.c3234	CP46		A06	
A04-0175.c4491	CP256		A03	
H01-0526.c3582	CP373		A03	
A01-0442.c7671	CP308		A03	
L01-0089.c1959	CP129		D03	
G01-0122.c3173	CP116		B05	
A1018.c3069	CS17			
A01-0011.c3101	CP3		A01	
H01-0251.c7310	CP169		C03	
H01-0102.c5430	CP63		C01	
O01-0033.c5703	CP97		B06	
A03-0176.c4452	CP61		D01	
E01-0191.c6927	CP266		D06	
A1074.c2903	CP0.7			
A01-0265.c4409	CP164		B02	
R02-0233.c4588	CP339		A06	
M04-0107.c1598	CP229		C03	
J01-0040.c3159	CP134		D03	
R02-0131.c670	CP246		A01	
H01-0473.c7461	CP330		C04	
A01-0311.c5782	CP194		A02	
A02-0932.c124	CP30		C04	
A02-0724.c791	CP270		A03	
A01-0300.c4687	CP185		A01	
R01-0179.c3793	CP352		D01	
P01-0039.c3619	CP110		B06	
E02-0202.c2804	CP249		D06	
D01-0018.c748	CP67		A02	
E01-0003.c5098	CP33		A04	
T01-0011.c5906	CP217		A02	
N03-0143.c3872	CP202		A04	
Q01-0199.c3888	CP298		A06	
K01-0109.c5275	CP190		C04	
A02-0300.c5778	CP63		D06	
J01-0228.c268	CP347		C05	
N02-0171.c681	CP260		C04	
A01-0487.c1357	CP342		A03	
Q01-0112.c1040	CP227		B03	
N02-0124.c1702	CP179		A05	
A03-0294.c6483	CP111		D02	
R01-0121.c7189	CP208		D03	
A02-0133.c2237	CP18		A06	
N03-0183.c6067	CP230		C04	
E02-0196.c941	CP234		C03	
H01-0466.c5706	CP327		A01	
A01-0464.c4059	CP324		B06	
S01-0020.c6980	CP147		A06	
G01-0131.c1095	CP94		B05	
T01-0073.c2426	CP294		C02	
