assay_batch_id	assay_amplification_method	assay_amplification_method_lot_id	assay_analysis_software_version	assay_batch_comment	assay_batch_record_version	assay_date	assay_machine	assay_method	assay_method_lot_id	assay_quantification_method	assay_quantification_type	assay_reaction_ul	assay_run_by
AP157	OneStep RT-ddPCR	63101837	1.2	K7	1.0	1/20/23	QX 200			DQ	Direct Quantification	20	JL
AP68	OneStep RT-ddPCR	58477041	1.2	F5	1.0	4/21/22	QX 200			DQ	Direct Quantification	20	JL
AP58	OneStep RT-ddPCR	58477040	1.2	I7	1.0	3/30/22	QX 200			DQ	Direct Quantification	20	JL
AP20	OneStep RT-ddPCR	58477038	1.2	D8	1.0	11/18/21	QX 200			DQ	Direct Quantification	20	JL
AP0.1	OneStep RT-ddPCR		1.2		1.0	5/3/21	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	
AP143	OneStep RT-ddPCR	63101837	1.2	K8	1.0	12/20/22	QX 200			DQ	Direct Quantification	20	JL
AP201	OneStep RT-ddPCR	63101837	1.2	H7	1.0	3/28/23	QX 200			DQ	Direct Quantification	20	JL
AP129	OneStep RT-ddPCR	63101837	1.2	G8	1.0	10/25/22	QX 200			DQ	Direct Quantification	20	JL
AP195	OneStep RT-ddPCR	58477041	1.2	E6	1.0	3/21/23	QX 200			DQ	Direct Quantification	20	JL
AP72	OneStep RT-ddPCR	58477041	1.2	K5	1.0	4/28/22	QX 200			DQ	Direct Quantification	20	JL
AP75	OneStep RT-ddPCR	60394497	1.2	F7	1.0	5/4/22	QX 200			DQ	Direct Quantification	20	JL
AP19	OneStep RT-ddPCR	58477038	1.2	D1	1.0	11/17/21	QX 200			DQ	Direct Quantification	20	JL
AP60	OneStep RT-ddPCR	58477040	1.2	J8	1.0	4/4/22	QX 200			DQ	Direct Quantification	20	JL
AP159	OneStep RT-ddPCR	63101837	1.2	B7	1.0	1/27/23	QX 200			DQ	Direct Quantification	20	JL
AP191	OneStep RT-ddPCR	58477041	1.2	L4	1.0	3/17/23	QX 200			DQ	Direct Quantification	20	JL
AP0.08	OneStep RT-ddPCR		1.2		1.0	4/19/21	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	
AP28	OneStep RT-ddPCR	58477038	1.2	J4	1.0	12/21/21	QX 200			DQ	Direct Quantification	20	JL
AP50	OneStep RT-ddPCR	58477038	1.2	NAB26 J1	1.0	3/2/22	QX One			DQ	Direct Quantification	20	JL
AP127	OneStep RT-ddPCR	XXXXXX	1.2	K2	1.0	10/18/22	QX 200			DQ	Direct Quantification	20	JL
AP17	OneStep RT-ddPCR	58477038	1.2	C6	1.0	11/8/21	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	AJ
AP0.06	OneStep RT-ddPCR		1.2		1.0	3/30/21	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	
AP171	OneStep RT-ddPCR	XXXXXX	1.2	E5	1.0	2/10/23	QX 200			DQ	Direct Quantification	20	JL
AP0.006	OneStep RT-ddPCR		1.2		1.0	11/10/20	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	
AP83	OneStep RT-ddPCR	64464142	1.2	L2	1.0	5/20/22	QX 200			DQ	Direct Quantification	20	JL
