concentration_batch_id	concentration_batch_comment	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
CP45		1.0	12/8/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP148		1.0	5/19/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP7		1.0	9/2/21	10	Kookaburra	Ceres Nanotrap	 NT04155	0.425	JL
CP68		1.0	1/31/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
CP20		1.0	8/1/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP302		1.0	12/14/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP43		1.0	12/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP249		1.0	10/3/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP129		1.0	4/27/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP195		1.0	7/27/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP350		1.0	2/27/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP72		1.0	2/7/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
CP367		1.0	3/20/23	10	Halcyon	Ceres Nanotrap	NT04465	0.475	AJ
CP212		1.0	8/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP228		1.0	9/7/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP31		1.0	11/2/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
CP320		1.0	1/18/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP333		1.0	2/1/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP60		1.0	1/19/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP234		1.0	9/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
