sample_id	location_id	sample_collection_by	sample_collection_end_datetime	sample_collection_start_datetime	sample_comment	sample_event	sample_flow	sample_ph_lab	sample_qc	sample_received_by	sample_received_date	sample_recovered_datetime	sample_status
N02-0093.867	ClarksburgWWTP-01		6/21/22 7:00	6/20/22 7:00		Routine Surveillance	3.71	7.2	Pass	AJ	6/22/22	6/21/22 7:00	Complete
H01-0323.6851	MoundsvilleWWTP-01		8/26/22 8:00	8/25/22 8:00		Routine Surveillance	1.4		Pass	AJ	9/6/22	8/26/22 8:00	Complete
M03-0048.4742	ManningtonWWTP-01		4/2/22 11:30	4/1/22 11:30		Routine Surveillance	0.189	6.85	Pass	AJ	4/6/22	4/2/22 11:30	Complete
A0102.7271	StarCityWWTP-01	GS	11/3/20 23:59	11/3/20 0:00		Routine Surveillance	6.967		Pass	TD	11/9/20	11/3/20 0:00	Complete
A02-0151 c.6417	NorthHighSt-02 (MUB)	EL	8/10/21 9:00	8/9/21 9:00	Was A04-0009	Routine Surveillance	11.943	7.29	Pass	TD	8/10/21	8/10/21 10:00	Complete
K01-0143.1463	ParkersburgWWTP-01		8/12/22 6:30	8/11/22 6:30		Routine Surveillance	8.026		Pass	AJ	8/17/22	8/12/22 6:30	Complete
N03-0160.1820	SalemWWTP-01		8/16/22 7:30	8/15/22 7:30		Routine Surveillance	0.49555		Pass	AJ	8/17/22	8/16/22 7:30	Complete
J01-0197.2640	AlpineLakeWWTP-01		12/21/22 7:30	12/20/22 7:30		Routine Surveillance	0.096		Pass	AJ	1/4/23	12/21/22 7:30	Complete
E01-0167.5673	PrincetonWWTP-01		9/1/22 9:00	8/31/22 9:00		Routine Surveillance	2.391		Pass	AJ	9/9/22	9/1/22 9:00	Complete
A02-0062.5252	HonorsSummit-01 (MUB)	EL	8/30/21 10:04	8/30/21 10:04		Routine Surveillance		7.45	Pass	JL	8/30/21	8/30/21 10:04	Complete
E01-0088.4642	PrincetonWWTP-01	TT	3/31/22 8:30	3/30/22 8:30		Routine Surveillance	2.039	6.6	Pass	AJ	4/8/22	3/31/22 8:30	Complete
D01-0043.5221	CharlesTownWWTP-01		4/25/22 7:20	4/24/22 7:20		Routine Surveillance	1.22	7.1	Pass	AJ	4/27/22	4/25/22 7:20	Complete
