Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
587	not institution specific	wwtp	WWTP	WWTP		HSB	1/17/2022	1/18/2022	1/19/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	12.73	1711111	1792693	1751902	82455477.6701923	86386773.0562249	84421125.3632086	1472.41924411058	1542.62094743259	1507.52009577158	1165473.4	963691.789962856	70380352.6212936	41155960.9141744	1256.79201109453	734.927873467401	1301231.9	945999.769708731	73304610.2709373	45148336.1980339	1309.01089769531	806.220289250605	1436990.4	988561.06803876	76228867.920581	55526237.1540998	1361.22978429609	991.539949180354
357	not institution specific	wwtp	WWTP	WWTP		HSB	12/8/2021	12/9/2021	12/10/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	8.04	41943	83888	62915.5	1276522.4711052	2553105.8116032	1914814.1413542	22.7950441268786	45.5911752072	34.1931096670393	451543	975525.894581812	14504265.0349199	24890685.2699365	259.004732766426	444.476522677437	395441	845518.958231555	12653892.9108988	21298582.1748855	225.962373408906	380.331824551526	339339	717306.222770812	10803520.7868776	17768166.4590572	192.920014051386	317.288686768878
994	not institution specific	wwtp	WWTP	WWTP		HSB	3/8/2022	3/9/2022	3/10/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	24.24	81286	81286	81286	7458668.2951824	7458668.2951824	7458668.2951824	133.190505271114	133.190505271114	133.190505271114	37312.2	78043.0574377071	3079124.18209458	6681373.59514482	54.9843603945461	119.310242770443	32148.5	57564.5755416209	2813767.3650605	5286120.97139023	50.2458458046518	94.3950173462542	26984.8	63781.4190887693	2548410.54802642	6066126.19119649	45.5073312147575	108.323681985652
438	not institution specific	wwtp	WWTP	WWTP		HSB	12/19/2021	12/20/2021	12/21/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.25	453067	453067	453067	15864160.2603475	15864160.2603475	15864160.2603475	283.288576077634	283.288576077634	283.288576077634	1785824.4	5630789.15962139	59966025.1749973	186949585.828514	1070.82187812495	3338.38546122346	1808628.8	5656495.04253924	60748623.07936	187777830.774407	1084.79684070286	3353.17554954298	1831433.2	5682683.28338007	61531220.9837227	188623931.695449	1098.77180328076	3368.2844945616
1202	not institution specific	wwtp	WWTP	WWTP		HSB	3/31/2022	4/1/2022	4/2/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	8.24	318860	373589	346224.5	9945810.460624	11652905.3006776	10799357.8806508	177.603758225429	208.087594654957	192.845676440193	130067.6	216358.076588296	4195578.03998344	6553502.83332086	74.9210364282757	117.026836309301	127745.4	239106.38910227	4055577.3993411	7283951.63183781	72.4210249882339	130.070564854247	125423.2	267240.427674821	3915576.75869876	8219486.51286052	69.9210135481922	146.776544872509
490	not institution specific	wwtp	WWTP	WWTP		HSB	1/3/2022	1/4/2022	1/5/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	26.59	90239	45118	67678.5	9082920.9894041	4541309.5136242	6812115.25151415	162.19501766793	81.0948127432893	121.64491520561	1124499	4096856.2815541	36004625.684381	122264479.615122	642.939744363947	2183.29427884147	1166436	4139857.47716855	39586380.062355	121241053.561351	706.899643970624	2165.01881359556	1208373	4187374.05018858	43168134.4403289	121787023.260511	770.859543577301	2174.76827250912
898	not institution specific	wwtp	WWTP	WWTP		HSB	2/26/2022	2/27/2022	2/28/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	27.55	1160	72917	37038.5	120974.13278	7604371.4137235	3862672.77325175	2.16025237107143	135.792346673634	68.9762995223527	75825.8	192043.963332153	7042131.2801615	17792631.7562516	125.752344288598	317.725567075922	76486.2	88256.8544233096	7275819.28521279	7981004.2636666	129.9253443788	142.517933279761	77146.6	71823.9771194802	7509507.29026408	7110911.11507668	134.098344469001	126.980555626369
766	not institution specific	wwtp	WWTP	WWTP		HSB	2/9/2022	2/10/2022	2/11/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.88	1312014	1402584	1357299	49069127.8475112	52456432.3344672	50762780.0909892	876.234425848414	936.722005972629	906.478215910521	626955	839079.389986624	41966488.9537542	35910936.6782565	749.401588459897	641.266726397437	635239.1	891200.198657645	41939019.0737452	38435269.5573621	748.911054888308	686.344099238609	643523.2	952004.27037897	41911549.1937363	42745688.1538716	748.420521316719	763.315859890564
847	not institution specific	wwtp	WWTP	WWTP		HSB	2/20/2022	2/21/2022	2/22/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	25.5	490	47609	24049.5	47298.69795	4595599.409595	2321449.0537725	0.84461960625	82.0642751713393	41.4544473887946	315698.4	821589.844020836	15724030.8854819	49006746.8903655	280.786265812176	875.120480185099	348452.9	749190.031906202	17745230.1629782	43971447.0000651	316.879110053182	785.204410715449	381207.4	689070.569455203	19766429.4404745	39431999.0075082	352.971954294188	704.14283941979
1172	not institution specific	wwtp	WWTP	WWTP		HSB	3/28/2022	3/29/2022	3/30/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.46	105911	123570	114740.5	2990837.5264846	3489512.828202	3240175.1773433	53.4078129729393	62.3127290750357	57.8602710239875	80199.6	95688.2752311292	2629053.64319784	2861227.29146161	46.9473864856757	51.0933444903858	75881.6	81921.6629667623	2424036.37891147	2214970.12287238	43.2863639091334	39.5530379084354	71563.6	85328.7040046664	2219019.1146251	2251661.53506703	39.6253413325911	40.2082416976256
