Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev
H01-0124	not institution specific	wwtp	MoundsvilleWWTP-01	02/07/2022 08:00 AM	86072.19592	91457.58525	1.8	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
N03-0049	not institution specific	wwtp	SalemWWTP-01	02/14/2022 07:30 AM	261321.8451	96087.02168	5.2813	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
N03-0001	not institution specific	wwtp	SalemWWTP-01	03/13/2022 07:30 AM	19860.2581769228	9928.95271629094	0.639	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A01-0091	not institution specific	wwtp	StarCityWWTP-01	11/16/2021 12:00 AM	95145.93244	87039.98923	7.713	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A01-0161	not institution specific	wwtp	StarCityWWTP-01	01/25/2022 12:00 AM	2884158.926	2841433.768	9	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0278	higher ed dorm	upstream	HonorsSummit-01 (MUB)	01/24/2022 09:00 AM	176762.073	57557.93676		48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0161	k12	upstream	NorthES-01	12/22/2021 06:00 AM	27631.09457	18418.70539		8-hr time-weighted composite	North Elementary	26505		-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
D01-0022	not institution specific	wwtp	CharlesTownWWTP-01	12/12/2021 07:30 AM	451446.3848	248272.6416	1.35	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E02-0071	not institution specific	wwtp	AthensWWTP-01	02/21/2022 08:00 AM	563394.0715	676987.3881	0.091	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0121	k12	upstream	MorgantownHS-01	01/10/2022 06:00 AM	6208.69006	34159.18507		8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0293	k12	upstream	MorgantownHS-01	04/01/2022 06:00 AM	0	0		8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
G01-0095	not institution specific	wwtp	KeyserWWTP-01	02/15/2022 09:00 AM	110601.4158	42976.98207	0.838	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
N02-0013	not institution specific	wwtp	ClarksburgWWTP-01	03/20/2022 07:00 AM	0	0	8.36	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
C01-0128	not institution specific	wwtp	WheelingWWTP-01	03/16/2022 07:00 AM	11003.8319975138	7335.5675395578	9.093	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E01-0017	not institution specific	wwtp	PrincetonWWTP-01	12/07/2021 08:00 AM	303598.1637	48252.59931	1.637	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
N03-0048	not institution specific	wwtp	SalemWWTP-01	02/25/2022 07:30 AM	64109.78615	77860.36223	0.9354	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
D01-0021	not institution specific	wwtp	CharlesTownWWTP-01	02/09/2022 07:20 AM	422583.5288	45957.82422		24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0120	k12	upstream	MorgantownHS-01	12/03/2021 06:00 AM	30611.14892	33163.09087		8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
N02-0039	not institution specific	wwtp	ClarksburgWWTP-01	02/08/2022 07:00 AM	117264.9314	132925.0865	9.36	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
G01-0147	not institution specific	wwtp	KeyserWWTP-01	02/21/2022 09:00 AM	21549.85137	21549.85137	1.187	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
C01-0012	not institution specific	wwtp	WheelingWWTP-01	09/29/2021 07:00 AM	16138.10264	33902.6624		24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0127	higher ed dorm	upstream	CollegePark-02	09/22/2021 10:57 AM	11364.1528	2272.417396		48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
M04-0003	not institution specific	wwtp	FarmingtonWWTP-01	02/21/2022 10:15 AM	2150.699899	0	0.119	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
