Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
959	not institution specific	wwtp	WWTP	WWTP		HSB	active	3/2/2022	3/3/2022	3/4/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	20.42	85206	32	42619	6586259.5398732	2473.5383104	3294366.5390918	117.611777497736	0.0441703269714286	58.8279739123536	60475.6	168999.544703294	5327347.5910241	15428599.8177943	95.1312069825732	275.510711032041	42066.5	94168.7952566475	3843436.21298851	8671787.39520794	68.632789517652	154.853346342999	23657.4	60470.7996216868	2359524.83495292	6191652.00526432	42.1343720527307	110.56521437972
661	not institution specific	wwtp	WWTP	WWTP		HSB	active	1/26/2022	1/27/2022	1/28/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	8.72	601521	882402	741961.5	19855471.4670792	29127009.2540304	24491240.3605548	354.561990483557	520.125165250543	437.34357786705	872154.4	1087105.94528098	36317757.578072	44386512.9288552	648.531385322714	792.616302300985	958172.7	1046773.74790216	39299135.6677994	41233613.8457996	701.770279782132	736.314532960707	1044191	1061331.80997334	42280513.7575268	39732484.6796209	755.00917424155	709.50865499323
1405	not institution specific	wwtp	WWTP	WWTP		HSB	active	4/25/2022	4/26/2022	4/27/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.65	268697	227954	248325.5	7781031.5773905	6601180.036221	7191105.80680575	138.946992453402	117.878214932518	128.41260369296	167148.6	358044.63427259	4645203.97490486	9726368.47259939	82.9500709804439	173.685151296418	173636.6	387375.544564183	4845519.55555909	10412611.4691437	86.527134920698	185.939490520423	180124.6	420407.834688061	5045835.13621332	11218249.9534951	90.1041988609521	200.325892026698
1500	not institution specific	wwtp	WWTP	WWTP		HSB	active	5/8/2022	5/9/2022	5/10/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	25.51	28869	64963	46916	2787758.3429079	6273204.6565633	4530481.4997356	49.7813989804982	112.021511724345	80.9014553524214	97079.2	310265.672608883	3291915.73595386	8649414.35655082	58.7842095706047	154.45382779555	106884.4	317917.674427401	3849958.36085621	8923267.92164599	68.7492564438609	159.344070029393	116689.6	326179.175991811	4408000.98575856	9368901.26160188	78.7143033171172	167.301808242891
992	not institution specific	wwtp	WWTP	WWTP		HSB	active	3/7/2022	3/8/2022	3/9/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	28.14	110	41899	21004.5	11717.358114	4463141.7056226	2237429.5318683	0.20923853775	79.698959028975	39.9540987833625	21151.6	67049.8642892239	1596555.0763763	5184473.72398295	28.5099120781482	92.579887928267	15895.9	31255.1371803324	1323858.65218502	2555764.96631353	23.6403330747325	45.6386601127417	10640.2	32732.494875889	1051162.22799374	3530574.69852672	18.7707540713168	63.0459767594056
736	not institution specific	wwtp	WWTP	WWTP		HSB	active	2/6/2022	2/7/2022	2/8/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	25.73	247425	123702	185563.5	24098848.4318025	12048401.5306086	18073624.9812056	430.33657913933	215.150027332296	322.743303235813	1050947.6	1686790.49702032	36973483.499175	40858678.5150242	660.240776770983	729.61925919686	1062725.6	1706585.15640488	36618266.1968985	43728931.820802	653.897610658903	780.873782514321	1074503.6	1731301.94678232	36263048.8946221	48007315.7126673	647.554444546822	857.27349486906
572	not institution specific	wwtp	WWTP	WWTP		HSB	active	1/16/2022	1/17/2022	1/18/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	11.6	1047461	1289398	1168429.5	45994804.390516	56618440.964888	51306622.677702	821.335792687786	1011.04358865871	916.18969067325	856610.2	759177.172730279	81146826.5014288	55600007.6331357	1449.0504732398	992.857279163137	901585.9	770416.503502007	84120130.0617892	66423189.0326746	1502.14517967481	1186.12837558347	946561.6	830020.307910806	87093433.6221495	79273828.7655549	1555.23988610981	1415.6040850992
1347	not institution specific	wwtp	WWTP	WWTP		HSB	active	4/19/2022	4/20/2022	4/21/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.88	19347	29022	24184.5	723574.9134276	1085418.4699176	904496.6916726	12.9209805969214	19.3824726771	16.1517266370107	50538	101240.680653585	1906788.21665154	2501920.87061627	34.0497895830632	44.677158403862	64887.9	128001.7960324	2506284.02988828	3467726.26468588	44.7550719622907	61.9236832979621	79237.8	155432.604116032	3105779.84312502	4483990.7780087	55.4603543415182	80.0712638930125
234	not institution specific	wwtp	WWTP	WWTP		HSB	active	11/21/2021	11/22/2021	11/23/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	11.15	223593	357783	290688	9437261.6361495	15101062.1082345	12269161.872192	168.522529216955	269.66182336133	219.092176289143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1539	not institution specific	wwtp	WWTP	WWTP		HSB	active	5/11/2022	5/12/2022	5/13/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	17.03	133812	209133	171472.5	8626261.8081276	13481870.1664959	11054065.9873118	154.04038943085	240.74768154457	197.39403548771	118645.4	299411.427521583	5190486.41801936	8570004.27295011	92.6872574646314	153.035790588395	134680.4	307069.227047599	6277311.74691969	9218024.99167129	112.094852623566	164.607589136987	150715.4	316592.226598	7364137.07582002	10145707.0333863	131.5024477825	181.173339881898
