Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	latlong	population_served	counties_served	capacity_mgd	Status: WaTCH	status
A02-0345	higher ed dorm	upstream	HonorsSummit-01 (MUB)	2/12/22 9:00	0	4778.447645		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
A04-0015	not institution specific	wwtp	CheatLakeWWTP-01	2/14/22 8:00	227526.6346	250556.7911	0.625	24-hr time-weighted composite	Cheat Lake	26508	-79.857,39.67712	2000	Monongalia	0.75	Complete	active
A1088	not institution specific	wwtp	StarCityWWTP-01	7/8/21 0:00	9310	4655	8.773	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
E01-0064	not institution specific	wwtp	PrincetonWWTP-01	2/15/22 10:00	399202.584	421648.2747	2.441	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
A02-0001	not institution specific	upstream	Evansdale-01	8/11/21 9:00	0	0		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A0216	not institution specific	wwtp	StarCityWWTP-01	1/10/21 0:00	161664	173496	7.624	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
H01-0081	not institution specific	wwtp	MoundsvilleWWTP-01	12/4/21 8:00	114918.3449	82816.40545	1.2	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A02-0200	not institution specific	upstream	Evansdale-01	10/30/21 9:00	0	0		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
D01-0021	not institution specific	wwtp	CharlesTownWWTP-01	2/9/22 7:20	422583.5288	45957.82422		24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
A03-0094	k12	upstream	MountainviewES-01	11/29/21 6:00	5402.044868	5402.044868		8-hr time-weighted composite	Mountainview Elementary	26501	-79.94331,39.61036	726	Monongalia	-1	Complete	active
A02-0012	higher ed dorm	upstream	HonorsSummit-01 (MUB)	8/14/21 9:00	4097.80094	10928.96241		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
A04-0018	not institution specific	wwtp	CheatLakeWWTP-01	2/17/22 8:00	108462.6862	110725.3043	0.9	24-hr time-weighted composite	Cheat Lake	26508	-79.857,39.67712	2000	Monongalia	0.75	Complete	active
A02-0140	higher ed dorm	upstream	OaklandE-02	10/2/21 9:00	0	3145.733718		48-hr time-weighted composite	Oakland Hall (WVU Morgantown)	26505	-79.9622118,39.6511596	862	Monongalia	-1	Complete	active
D01-0014	not institution specific	wwtp	CharlesTownWWTP-01	1/17/22 7:15	284700.1228	36496.14394		24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
A02-0358	not institution specific	upstream	NorthHighSt-02 (MUB)	2/16/22 9:00	16476.13803	11768.00888		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
N03-0049	not institution specific	wwtp	SalemWWTP-01	2/14/22 7:30	261321.8451	96087.02168	5.2813	24-hr time-weighted composite	Salem	26426	-80.54515,39.28597	1853	Harrison	0.4	Complete	active
G02-0012	higher ed dorm	upstream	PotomacState-01	10/26/21 10:30	4300.335329	7167.636454		48-hr time-weighted composite	WVU Keyser	26726	-78.98272,39.43807	1193	Mineral	-1	Complete	inactive
G01-0053	not institution specific	wwtp	KeyserWWTP-01	10/13/21 9:00	86515.25736	19199.75415		24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
G01-0012	not institution specific	wwtp	KeyserWWTP-01	12/20/21 9:00	129015.5558	153402.7022	0.549	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
A02-0073	higher ed dorm	upstream	CollegePark-02	9/1/21 10:59	0	0		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
C01-0125	not institution specific	wwtp	WheelingWWTP-01	2/9/22 7:00	65924.92841	74172.83893	12.235	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A01-0051	not institution specific	wwtp	StarCityWWTP-01	9/29/21 0:00	342206.5973	374986.8608	7.542	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0156	higher ed dorm	upstream	TowersBB-01	8/10/21 9:00	0	0		48-hr time-weighted composite	Brooke & Braxton Towers (WVU Morgantown)	26505	-79.9663361,39.6495489	904	Monongalia	-1	Complete	inactive
B01-0045	not institution specific	wwtp	CharlestonWWTP-01	1/6/22 7:00	21211.48087	16968.32556	10.745	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
A02-0057	not institution specific	upstream	NorthHighSt-02 (MUB)	8/27/21 10:40	880934.5961	937768.7645		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
