Asset Tag ID,Description,Site,Location,Category,Department,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample pH (Lab),"Control, Process (Type)","Control, Internal (Type)",Sample QC Check,Assay Target 1,Assay Target 1 Result (CN/L),Assay Target 2,Assay Target 2 Result (CN/L),Sample Flow (MGD),Status: WaTCH
A02-0975,Sample ,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,01/23/2023 11:54 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
A02-0976,Sample ,Monongalia,MtValley-01,Sample,WVU Morgantown,Composite,GZ ,01/25/2023 09:58 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0977,Sample ,Monongalia,Evansdale-01,Sample,WVU Morgantown,Composite,GZ,01/25/2023 10:15 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0978,Sample ,Monongalia,UPlace-01,Sample,WVU Morgantown,Composite,GZ,01/25/2023 10:53 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0979,Sample,Monongalia,TowersBB-01,Sample,WVU Morgantown,Composite,GZ,01/25/2023 10:27 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0980,Sample ,Monongalia,HonorsSummit-01,Sample,WVU Morgantown,Composite,GZ,01/25/2023 11:11 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0981,Samples ,Monongalia,Seneca-01,Sample,WVU Morgantown,Composite,GZ,01/25/2023 11:02 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0982,Sample ,Monongalia,OaklandE-02,Sample,WVU Morgantown,Composite,GZ ,01/25/2023 10:47 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-0983,Sample ,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,01/25/2023 11:26 AM,01/23/2023 09:00 AM,01/25/2023 09:00 AM,,,,,,,,,,,,,,
A02-1262,Sample ,Monongalia,MtValley-01,Sample,WVU Morgantown,Composite,GZ ,05/08/2023 10:22 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1263,Sample ,Monongalia,TowersBB-01,Sample,WVU Morgantown,Composite,GZ,05/08/2023 10:44 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1264,Sample ,Monongalia,OaklandE-02,Sample,WVU Morgantown,Composite,GZ,05/08/2023 10:54 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1265,Sample ,Monongalia,UPlace-01,Sample,WVU Morgantown,Composite,GZ,05/08/2023 11:05 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1266,Sample ,Monongalia,Seneca-01,Sample,WVU Morgantown,Composite,GZ,05/08/2023 11:11 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1267,Sample ,Monongalia,HonorsSummit-01,Sample,WVU Morgantown,Composite,GZ,05/08/2023 11:17 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1284,Sample,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,05/08/2023 11:29 AM,05/06/2023 09:00 AM,05/08/2023 09:00 AM,,,,,,,,,,,,,,
A02-1342,G,Monongalia,StadiumNE-01,Sample,WVU Morgantown,Composite,,09/03/2024 10:00 AM,08/31/2024 10:00 AM,08/31/2024 06:00 PM,AJ,09/04/2024,,,,,,Pass,,,,,,
