result_id	sample_id	assay_id	target	target_category	target_genetic_locus	responsible_lab_name	responsible_lab_abbrev	assay_target_copies_per_ul_reaction	assay_reaction_ul	extraction_output_ul	concentration_output_ml	assay_input_ul	extraction_input_ul	concentration_input_ml	target_copies_per_literww	target_result_validated
N02-0036.a3	N02-0036	N02-0036.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
C01-0216.a3	C01-0216	C01-0216.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.316706747	20	75	0.475	5	400	10	11282.677861875	1
A01-0196.a3	A01-0196	A01-0196.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.753616452	20	75	0.475	5	400	10	26847.5861025	1
A02-0331.a1	A02-0331	A02-0331.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.890159607	20	75	0.475	5	400	10	102961.935999375	1
C01-0142.a1	C01-0142	C01-0142.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
G02-0012.a2	G02-0012	G02-0012.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.337300539	20	50	0.425	5	400	10	7167.63645375	1
M04-0089.a2	M04-0089	M04-0089.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.534060121	20	75	0.475	5	400	10	54650.891810625	1
I01-0006.a1	I01-0006	I01-0006.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.141394213	20	50	0.425	5	400	10	3004.62702625	1
H01-0107.a2	H01-0107	H01-0107.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	8.89302635	20	75	0.475	5	400	10	316814.06371875	1
H01-0008.a3	H01-0008	H01-0008.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.138789102	20	50	0.425	5	400	10	2949.2684175	1
E01-0064.a1	E01-0064	E01-0064.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	11.20568657	20	75	0.475	5	400	10	399202.58405625	1
E02-0143.a2	E02-0143	E02-0143.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.64851737	20	75	0.475	5	400	10	58728.43130625	1
E01-0112.a1	E01-0112	E01-0112.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.136973858	20	75	0.475	5	400	10	76129.69369125	1
A01-0219.a2	A01-0219	A01-0219.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.731077969	20	75	0.475	5	400	10	26044.652645625	1
C01-0199.a2	C01-0199	C01-0199.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.591605187	20	75	0.475	5	400	10	92325.934786875	1
H01-0093.a3	H01-0093	H01-0093.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.761492074	20	75	0.475	5	400	10	27128.15513625	1
A0213.a2	A0213	A0213.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	4	5	200	100	0	1
A01-0011.a1	A01-0011	A01-0011.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.437635184	20	50	0.425	5	400	10	51799.74766	1
N03-0039.a2	N03-0039	N03-0039.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.073384404	20	75	0.475	5	400	10	38239.3193925	1
F01-0019.a1	F01-0019	F01-0019.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.356290311	20	50	0.425	5	400	10	7571.16910875	1
B01-0127.a3	B01-0127	B01-0127.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
B01-0028.a2	B01-0028	B01-0028.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.990503609	20	75	0.475	5	400	10	35286.691070625	1
O01-0026.a3	O01-0026	O01-0026.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.211487651	20	75	0.475	5	400	10	7534.247566875	1
L01-0039.a3	L01-0039	L01-0039.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.257142693	20	75	0.475	5	400	10	9160.708438125	1
