assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
O01-0172.a2	O01-0172	09/15/2022 6:15	09/16/2022 6:15	Routine Surveillance	1.92	Pass	GraftonWWTP-01	SARS-CoV-2	N2	ZooWVU	1254	1254	20.6555756876956	9114.0559488	150.124459706803	100	0	1202.9378508	yes	-0.0456880682582412	FALSE	FALSE
E01-0706.a4	E01-0706	01/05/2025 07:30 AM	01/06/2025 07:30 AM	Routine Surveillance	9.059	Pass	PrincetonWWTP-01	Influenza Virus A	M	ZooWVU	28627.0995810628	28627.0995810628	79.5197210585078	981681.334458842	2726.89259571901	100	NA	NA	Missing controls: all	0.553885412049081	FALSE	FALSE
N02-0197.a1	N02-0197	11/03/2022 11:00	11/04/2022 11:00	Routine Surveillance	5.33	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	336809.8765425	336809.8765425	1271.07659650728	6795555.32048543	25645.5404954541	100	0	788.6441804	yes	NA	NA	NA
A01-0913.a2	A01-0913	06/11/2024 12:00 AM	06/12/2024 12:00 AM	Routine Surveillance	6.5	Pass	StarCityWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	262765.580713749	262765.580713749	543.712921523235	6465390.46978261	13378.1461467112	100	158.839530944824	NA	NTC above threshold	NA	NA	NA
O01-0008.a1	O01-0008	04/18/2022 7:00	04/19/2022 7:00	Routine Surveillance	2.38	Pass	GraftonWWTP-01	SARS-CoV-2	N1	ZooWVU	6473.69284875	6473.69284875	106.633056312799	58323.2843188764	960.686613718933	100	0	1642.8453446	yes	NA	NA	NA
Q01-0015.a1	Q01-0015	05/18/2022 8:00	05/19/2022 8:00	Routine Surveillance	0.4	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	232706.630184375	232706.630184375	5108.81734762624	352356.001986494	7735.58731035113	100	0	215.0277614	yes	NA	NA	NA
B01-0259.a2	B01-0259	09/29/2022 7:00	09/30/2022 7:00	Routine Surveillance	2.971	Pass	CharlestonWWTP-01	SARS-CoV-2	N2	ZooWVU	535691.8574625	535691.8574625	1071.383714925	6024633.35636081	12049.2667127216	100	0	1234.4461824	yes	-0.451538283281695	FALSE	FALSE
E01-0172.a3	E01-0172	09/12/2022 8:05	09/13/2022 8:05	Routine Surveillance	7.318	Pass	PrincetonWWTP-01	Human	RNase P	ZooWVU	1228	1228	3.41111111111111	34017.60210664	94.4933391851111	100	NA	NA	Missing controls: HEX	NA	NA	NA
M03-1007.a2	M03-1007	02/08/2026 08:00 AM	02/09/2026 08:00 AM	Routine Surveillance	0.159	Pass	ManningtonWWTP-01	Respiratory Syncitial Virus, Bovine	Unk	ZooWVU	475276.032686234	475276.032686234	43563.3393846227	286059.228855637	26219.9109858512	100	0.226524382829666	NA	yes	NA	NA	NA
M04-0037.a3	M04-0037	04/12/2022 12:00	04/13/2022 12:00	Routine Surveillance	0.132	Pass	FarmingtonWWTP-01	Human	RNase P	ZooWVU	971	971	159.180327868852	485.18357052	79.5382902491803	100	NA	NA	Missing controls: HEX	NA	NA	NA
