Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
C10,,,,,1,71.4234237670898,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1428.46850585938,,,75.6969375610352,67.1643829345703,19511,1077,18434,,,,,,,,,7568.98583984375,,,2.33327499294676,11.7877285966571,,,,,,,,,,,,8530.58278611377,4811.404725717,5016.70198219013,,,,,73.6019744873047,69.2486419677734,,,,,,,,,,,,,No,0,0,0,0
C11,,,,,1,86.3247756958008,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1726.49548339844,,,91.2567367553711,81.4120788574219,17821,1182,16639,,,,,,,,,7932.193359375,,,3.4707704543287,9.19339210302122,,,,,,,,,,,,8853.34806645582,4841.61944273784,5107.70233557408,,,,,88.8386688232422,83.8159027099609,,,,,,,,,,,,,No,0,0,0,0
C12,,,,,1,75.0755386352539,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1501.5107421875,,,79.6988906860352,70.469123840332,17553,1017,16536,,,,,,,,,7517.09912109375,,,2.49405216349941,16.4920537873676,,,,,,,,,,,,8203.00001824453,4529.92892708522,4742.74230939645,,,,,77.4322662353516,72.7232208251953,,,,,,,,,,,,,No,0,0,0,0
D01,,,,,1,5.17245578765869,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,103.449111938477,,,6.45631980895996,4.07191801071167,17789,73,17716,,,,,,,,,8392.6884765625,,,1.83508146729543,14.2890822893561,,,,,,,,,,,,8989.33062660531,5027.82988102513,5044.08653145109,,,,,5.80033683776855,4.59179830551147,,,,,,,,,,,,,No,0,0,0,0
D02,,,,,1,125.232467651367,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,2504.6494140625,,,131.177749633789,119.315139770508,18087,1714,16373,,,,,,,,,8035.966796875,,,2.81060814825115,14.1998363566729,,,,,,,,,,,,8842.09268854379,4937.50330362988,5307.51857458374,,,,,128.262268066406,122.209953308105,,,,,,,,,,,,,No,0,0,0,0
D03,,,,,1,8.24655818939209,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,164.931167602539,,,10.0469646453857,6.67661285400391,14232,93,14139,,,,,,,,,7906.25,,,1.488483900771,9.9279618851375,,,,,,,,,,,,8483.39095052083,4608.95378866397,4634.27156944339,,,,,9.13054752349854,7.42195415496826,,,,,,,,,,,,,No,0,0,0,0
D04,,,,,1,330.5537109375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,6611.07421875,,,340.331787109375,320.851043701172,19256,4450,14806,,,,,,,,,7257.6650390625,,,1.87422089625153,4.76743712805402,,,,,,,,,,,,8239.09525500351,4874.29447484999,5651.88917113599,,,,,335.533020019531,325.593994140625,,,,,,,,,,,,,No,0,0,0,0
D05,,,,,1,260.905822753906,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,5218.1162109375,,,269.534698486328,252.335754394531,18946,3549,15397,,,,,,,,,7163.9150390625,,,1.58895253976028,6.66177754866115,,,,,,,,,,,,7963.93999905343,4774.51568154384,5371.96458383675,,,,,265.300933837891,256.526062011719,,,,,,,,,,,,,No,0,0,0,0
D06,,,,,1,11.2978410720825,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,225.956817626953,,,12.9874277114868,9.610520362854,19236,172,19064,,,,,,,,,6645.04736328125,,,4.07870438768208,9.29534261630217,,,,,,,,,,,,8413.96098292151,4729.43475608169,4762.38019749448,,,,,12.1595907211304,10.4366807937622,,,,,,,,,,,,,No,0,0,0,0
D07,,,,,1,9.52787590026855,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,190.557525634766,,,11.0435047149658,8.01407051086426,20143,152,19991,,,,,,,,,7750.58984375,,,2.52151081639136,16.0701012228041,,,,,,,,,,,,8468.96461245888,4728.59091615641,4756.81594727581,,,,,10.3009281158447,8.75529861450195,,,,,,,,,,,,,No,0,0,0,0
