run_id	sample_id	assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	target	target_category	target_genetic_locus	target_macromolecule	target_fluorophore	target_calculated_copies_per_reaction	target_copies_per_reaction	target_result	notes
M04-0027.a2	M04-0027	2	M04-0027.e1	AP68	F06	0.005	Direct Quantification	13517	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0027.a3	M04-0027	3	M04-0027.e1	AP68	F06	0.005	Direct Quantification	13517	Human	Internal Control	RNase P	RNA	HEX	0	1.740791649	3100.785124	
M04-0028.a1	M04-0028	1	M04-0028.e1	AP62	D04	0.005	Direct Quantification	13743	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0028.a2	M04-0028	2	M04-0028.e1	AP62	D04	0.005	Direct Quantification	13743	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0029.a1	M04-0029	1	M04-0029.e1	AP59	E03	0.005	Direct Quantification	15427	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0029.a2	M04-0029	2	M04-0029.e1	AP59	E03	0.005	Direct Quantification	15427	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0029.a3	M04-0029	3	M04-0029.e1	AP59	E03	0.005	Direct Quantification	15427	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0030.a1	M04-0030	1	M04-0030.e1	AP59	E04	0.005	Direct Quantification	13716	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0030.a2	M04-0030	2	M04-0030.e1	AP59	E04	0.005	Direct Quantification	13716	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0030.a3	M04-0030	3	M04-0030.e1	AP59	E04	0.005	Direct Quantification	13716	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0031.a1	M04-0031	1	M04-0031.e1	AP76	F03	0.005	Direct Quantification	15906	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	20.71902514	36905.76352	
M04-0031.a2	M04-0031	2	M04-0031.e1	AP76	F03	0.005	Direct Quantification	15906	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	22.19965458	39543.13472	
M04-0032.a1	M04-0032	1	M04-0032.e1	AP68	F07	0.005	Direct Quantification	15556	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0032.a2	M04-0032	2	M04-0032.e1	AP68	F07	0.005	Direct Quantification	15556	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0032.a3	M04-0032	3	M04-0032.e1	AP68	F07	0.005	Direct Quantification	15556	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0033.a1	M04-0033	1	M04-0033.e1	AP65	B04	0.005	Direct Quantification	15079	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0033.a2	M04-0033	2	M04-0033.e1	AP65	B04	0.005	Direct Quantification	15079	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0033.a3	M04-0033	3	M04-0033.e1	AP65	B04	0.005	Direct Quantification	15079	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0034.a1	M04-0034	1	M04-0034.e1	AP59	E05	0.005	Direct Quantification	12916	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0034.a2	M04-0034	2	M04-0034.e1	AP59	E05	0.005	Direct Quantification	12916	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0034.a3	M04-0034	3	M04-0034.e1	AP59	E05	0.005	Direct Quantification	12916	Human	Internal Control	RNase P	RNA	HEX	0	3.643733859	6490.400936	
M04-0035.a1	M04-0035	1	M04-0035.e1	AP59	E06	0.005	Direct Quantification	15884	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0035.a2	M04-0035	2	M04-0035.e1	AP59	E06	0.005	Direct Quantification	15884	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0035.a3	M04-0035	3	M04-0035.e1	AP59	E06	0.005	Direct Quantification	15884	Human	Internal Control	RNase P	RNA	HEX	0	1.481374502	2638.698332	
M04-0036.a1	M04-0036	1	M04-0036.e1	AP76	F04	0.005	Direct Quantification	15856	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
