extraction_plate_id	extraction_date	extraction_input_ml	extraction_output_ml	extraction_method	extraction_method_lot_id	extraction_machine	extraction_plate_comment	extraction_run_by
EP24	10/13/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP25	10/15/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP26	10/18/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP27	10/20/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP28	10/25/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP29	10/27/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP30	10/28/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP30	10/28/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		LW
EP31	11/2/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	21108255	Kookaburra		JL
EP32	11/3/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	21108255	Kookaburra		JL
EP33	11/5/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	21108255	Kookaburra		JL
EP34	11/11/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		JL
EP35	11/12/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP35	11/15/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP36	11/16/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP37	11/17/21	0.4	0.05	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP38	11/19/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP39	11/22/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP40	11/29/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP41	11/30/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP42	12/2/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		LW
EP43	12/3/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP44	12/6/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP45	12/8/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP46	12/9/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		LW
EP47	12/10/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP48	12/13/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP49	12/15/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP50	12/16/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108355	Halcyon		AJ
EP51	12/17/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP52	12/21/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP53	12/22/21	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP54	1/3/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		JL
EP55	1/4/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP56	1/6/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP57	1/10/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP58	1/11/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP59	1/13/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP60	1/19/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP61	1/20/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP32	1/21/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP63	1/24/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP64	1/25/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP65	1/26/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP66	1/28/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP67	1/31/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP69	2/1/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP70	2/2/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP71	2/4/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		LW
EP72	2/7/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP73	2/9/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP74	2/10/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP76	2/14/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP78	2/15/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP79	2/16/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP81	2/18/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP82	2/21/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP84	2/23/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP85	2/25/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110285	Kookaburra		JL
EP86	2/28/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110285	Kookaburra		AJ
EP88	3/2/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP90	3/4/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110285	Kookaburra		AJ
EP92	3/9/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP93	3/10/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP95	3/11/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
