Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
H01-0182	WWTP	MoundsvilleWWTP-01	H01-0182	Marshall	Sample	Composite		04/09/2022 08:00 AM	04/18/2022	04/08/2022 08:00 AM	04/09/2022 08:00 AM	AJ	4/19/22		7.06			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	2.7	Processing	Complete
A03-0170	K-12	MountainviewES-01	Sample	Monongalia	Sample	Composite	Gz	02/08/2022 10:09 AM	02/08/2022	02/07/2022 06:00 AM	02/07/2022 02:00 PM	AJ	2/17/22		7.91			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Complete
A02-0330	WVU Morgantown	OaklandE-02	Sample	Monongalia	Sample	Composite	Gz	02/07/2022 10:09 AM	02/07/2022	02/05/2022 09:00 AM	02/07/2022 09:00 AM	AJ	2/16/22		7.23			Pass	SARS-CoV-2 N1	35095.68349	SARS-CoV-2 N2	5011.86993		Processing	Complete
C01-0075	WWTP	WheelingWWTP-01	G	Ohio	Sample	Composite	GZ	01/06/2022 07:00 AM	01/11/2022	01/05/2022 07:00 AM	01/06/2022 07:00 AM	AJ	1/13/22	11.475	7.06			Pass	SARS-CoV-2 N1	50299.15564	SARS-CoV-2 N2	12569.13001	15.315	Processing	Complete
F01-0010	WWTP	WestonWWTP-01	Sample	Lewis	Sample	Composite	BP	10/08/2021 01:30 PM	10/11/2021	10/07/2021 10:00 AM	10/08/2021 10:00 AM	JL	10/14/21		6.82			Pass	SARS-CoV-2 N1	289785.8667	SARS-CoV-2 N2	293002.0952		Rejected: No Flow	Complete
A1100	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	EL	07/29/2021 11:55 PM	07/30/2021	07/29/2021 12:00 AM	07/29/2021 11:55 PM	JL	7/30/21					Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	7.981	Processing	Complete
E01-0099	WWTP	PrincetonWWTP-01	E01-0099	Mercer	Sample	Composite	TT	04/26/2022 07:45 AM	04/28/2022	04/25/2022 07:45 AM	04/26/2022 07:45 AM	AJ	4/29/22		6.74			Pass	SARS-CoV-2 N1	79848.25283	SARS-CoV-2 N2	105546.0986	2.099	Processing	Complete
A03-0066	K-12	MorgantownHS-01	Sample	Monongalia	Sample	Composite	BL	11/04/2021 10:05 AM	11/05/2021	11/03/2021 06:00 AM	11/03/2021 02:00 PM	JL	11/29/21		6.95			Pass	SARS-CoV-2 N1	2280.917699	SARS-CoV-2 N2	9124.920294		Rejected: No Flow	Complete
A02-0140	WVU Morgantown	OaklandE-02	Sample	Monongalia	Sample	Composite	EL	10/04/2021 09:35 AM	10/04/2021	10/02/2021 09:00 AM	10/04/2021 09:00 AM	JL	10/11/21		8.16			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	3145.733718		Rejected: No Flow	Complete
A01-0070	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	10/23/2021 11:55 PM	10/27/2021	10/23/2021 12:00 AM	10/23/2021 11:55 PM	JL	11/1/21		6.84			Pass	SARS-CoV-2 N1		SARS-CoV-2 N2		9.596	Processing	Confirming
N02-0068	WWTP	ClarksburgWWTP-01	N02-0068	Harrison	Sample	Composite		04/28/2022 07:00 AM	05/04/2022	04/27/2022 07:00 AM	04/28/2022 07:00 AM	AJ	5/5/22		7.7			Pass	SARS-CoV-2 N1	5945.353098	SARS-CoV-2 N2	5945.353098	11.86	Processing	Complete
K01-0066	WWTP	ParkersburgWWTP-01	K01-0066	Wood	Sample	Composite		04/15/2022 07:00 AM	04/21/2022	04/14/2022 07:00 AM	04/15/2022 07:00 AM	JL	4/25/22		7.13			Pass	SARS-CoV-2 N1	10331.36543	SARS-CoV-2 N2	7748.284657	6.231	Processing	Complete
