sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,G9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8302,0,8302,48.59,2.3,-,-,-,-,-,Std-Ref,-,-,0.0,0.2702702702702703,2.2437837837837837,0.0,21.850554083353334,0.02,0.0,0.0,5.72
,,,G10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8272,0,8272,48.59,2.354,-,-,-,-,-,Std-Ref,-,-,0.0,0.27661574618096363,2.288165452408931,0.0,23.204607108317287,0.04,0.0,0.0,5.89
,,,G11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8280,0,8280,48.59,2.375,-,-,-,-,-,Std-Ref,-,-,0.0,0.2790834312573443,2.310810810810811,0.0,23.171265700482994,0.10,0.0,0.0,6.19
,,,H1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8271,0,8271,48.59,2.512,-,-,-,-,-,Std-Ref,-,-,0.0,0.2951821386603995,2.4414514688601643,0.0,27.13699552653844,0.08,0.0,0.0,7.57
,,,H2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8286,0,8286,48.59,2.485,-,-,-,-,-,Std-Ref,-,-,0.0,0.2920094007050529,2.419589894242068,0.0,27.142223026792173,0.02,0.0,0.0,7.38
,,,H4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8285,0,8285,48.59,2.436,-,-,-,-,-,Std-Ref,-,-,0.0,0.2862514688601645,2.371593419506463,0.0,24.91935787567905,0.04,0.0,0.0,7.51
,,,H5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8274,0,8274,48.59,2.438,-,-,-,-,-,Std-Ref,-,-,0.0,0.28648648648648656,2.3703891891891895,0.0,22.1179151559101,0.07,0.0,0.0,6.14
,,,H6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8264,0,8264,48.59,2.41,-,-,-,-,-,Std-Ref,-,-,0.0,0.28319623971797886,2.340333725029377,0.0,22.06015367860599,0.04,0.0,0.0,7.97
,,,H7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8255,0,8255,48.59,2.402,-,-,-,-,-,Std-Ref,-,-,0.0,0.282256169212691,2.330024676850764,0.0,22.358491823137538,0.08,0.0,0.0,6.0
,,,H8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8271,0,8271,48.59,2.452,-,-,-,-,-,Std-Ref,-,-,0.0,0.28813160987074027,2.383136545240893,0.0,23.950414701970736,0.10,0.0,0.0,6.55
,,,H9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8259,0,8259,48.59,2.415,-,-,-,-,-,Std-Ref,-,-,0.0,0.28378378378378377,2.3437702702702703,0.0,23.18370141663647,0.02,0.0,0.0,6.03
,,,H10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8268,0,8268,48.59,2.409,-,-,-,-,-,Std-Ref,-,-,0.0,0.28307873090481783,2.3404949471210337,0.0,21.73417755200771,0.07,0.0,0.0,6.33
,,,H11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8280,0,8280,48.59,2.396,-,-,-,-,-,Std-Ref,-,-,0.0,0.28155111633372504,2.3312432432432435,0.0,24.355493961352757,0.01,0.0,0.0,6.26
