sample_id	sample_status	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_ph_lab	sample_comment
A01-0096	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/22/2021 0:00	11/22/2021 23:55	11/23/2021 0:00	-	6.154	AJ	11/30/2021	6.87	
A01-0097	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/23/2021 0:00	11/23/2021 23:55	11/24/2021 0:00	-	6.035	AJ	11/30/2021	6.95	
A01-0098	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/24/2021 0:00	11/24/2021 23:55	11/25/2021 0:00	-	5.551	AJ	11/30/2021	6.96	
A01-0099	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/25/2021 0:00	11/25/2021 23:55	11/26/2021 0:00	-	6.639	AJ	11/30/2021	7.02	
A01-0100	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/27/2021 0:00	11/27/2021 23:55	11/28/2021 0:00	-	6.235	AJ	11/30/2021	7.08	
A01-0101	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/12/2021 0:00	10/12/2021 23:55	10/12/2021 23:55	GG	7.076	JL	10/20/2021		
A01-0102	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0103	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0111	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/28/2021 0:00	11/28/2021 23:55	11/29/2021 0:00	-	6.543	AJ	11/30/2021	7.13	
A01-0112	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/29/2021 0:00	11/29/2021 23:55	11/30/2021 0:00	AJ	6.977	AJ	11/30/2021	7.18	
A01-0113	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/30/2021 0:00	11/30/2021 23:55	11/30/2021 0:00	GG		AJ	12/03/2021	7.17	
A01-0114	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/01/2021 0:00	12/01/2021 23:55	12/01/2021 0:00	JF		AJ	12/03/2021	7.18	
A01-0115	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/02/2021 0:00	12/02/2021 23:55	12/02/2021 0:00	JF		AJ	12/03/2021	7.22	
A01-0116	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/03/2021 0:00	12/03/2021 23:55	12/04/2021 0:00	GG	6.478	AJ	12/06/2021	7.33	
A01-0117	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/04/2021 0:00	12/04/2021 23:55	12/05/2021 0:00	GG	6.575	AJ	12/06/2021	7.44	
A01-0118	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/05/2021 0:00	12/05/2021 23:55	12/06/2021 0:00	GG	9.511	AJ	12/06/2021	7.52	
A01-0119	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/06/2021 0:00	12/07/2021 0:00	12/07/2021 0:00	GG	7.7	AJ	12/13/2021	7.42	
A01-0120	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/07/2021 0:00	12/08/2021 0:00	12/08/2021 0:00	GG	7.3	AJ	12/13/2021	7.44	
A01-0121	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/08/2021 0:00	12/09/2021 0:00	12/09/2021 0:00	GG	7.2	AJ	12/13/2021	7.44	
A01-0122	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/10/2021 0:00	12/11/2021 0:00	12/11/2021 0:00	GG	12.3	AJ	12/14/2021	7.08	
A01-0123	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/11/2021 0:00	12/12/2021 0:00	12/12/2021 0:00	GG	9.6	AJ	12/14/2021	7.47	
A01-0124	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/12/2021 0:00	12/13/2021 0:00	12/13/2021 0:00	GG	8.1	AJ	12/14/2021	7.5	
A01-0125	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/13/2021 0:00	12/14/2021 0:00	12/14/2021 0:00	GG	7.7	AJ	01/10/2022	6.9	
A01-0126	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/14/2021 0:00	12/15/2021 0:00	12/15/2021 0:00	GG	7.2	AJ	01/10/2022	6.84	
A01-0127	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/15/2021 0:00	12/16/2021 0:00	12/16/2021 0:00	GG	7.4	AJ	01/10/2022	6.86	
A01-0128	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/17/2021 0:00	12/18/2021 0:00	12/18/2021 0:00	GG	9.7	AJ	12/21/2021	7.32	
A01-0129	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/18/2021 0:00	12/19/2021 0:00	12/19/2021 0:00	GG	8	AJ	12/21/2021	7.55	
A01-0130	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/19/2021 0:00	12/20/2021 0:00	12/20/2021 0:00	GG	7.2	AJ	12/21/2021	7.56	
A01-0131	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/21/2021 0:00	12/21/2021 11:59	12/21/2021 23:59	GG	7	JL	12/28/2021	6.99	
A01-0132	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/22/2021 0:00	12/22/2021 23:59	12/22/2021 23:59		6.9	JL	12/28/2021	7.13	
A01-0133	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/23/2021 0:00	12/23/2021 23:59	12/23/2021 23:59		6.3	JL	12/28/2021	7.13	
A01-0134	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/25/2021 0:00	12/25/2021 23:59	12/25/2021 23:59		10.3	JL	12/28/2021	7.16	
A01-0135	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/26/2021 0:00	12/26/2021 23:59	12/26/2021 23:59		14	JL	12/28/2021	7.39	
A01-0136	Complete	StarCityWWTP-01	Routine Surveillance	Pass	12/27/2021 0:00	12/27/2021 23:59	12/27/2021 23:59		11.2	JL	12/28/2021	7.37	
