concentration_batch_comment	concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
	PE108	1.0.0	4/16/21	100	Sorvall	PEG Precipitation		8	JL
	PE109	1.0.0	4/23/21	100	Sorvall	PEG Precipitation		7	MVS
	PE11	1.0.0	11/16/20	100	Sorvall	PEG Precipitation		4.2	MS
	PE110	1.0.0	4/23/21	100	Sorvall	PEG Precipitation		5	MVS
	PE111	1.0.0	4/23/21	100	Sorvall	PEG Precipitation		4	MVS
	PE112	1.0.0	4/23/21	100	Sorvall	PEG Precipitation		7	MVS
	PE113	1.0.0	4/23/21	100	Sorvall	PEG Precipitation		7	MVS
	PE114	1.0.0	4/30/21	100	Sorvall	PEG Precipitation		2	KED
	PE115	1.0.0	4/30/21	100	Sorvall	PEG Precipitation		3	KED
	PE116	1.0.0	4/30/21	100	Sorvall	PEG Precipitation		3	KED
	PE117	1.0.0	4/30/21	100	Sorvall	PEG Precipitation		5	KED
	PE118	1.0.0	4/30/21	100	Sorvall	PEG Precipitation		7.5	KED
	PE119	1.0.0	5/7/21	100	Sorvall	PEG Precipitation		5	
	PE12	1.0.0	11/16/20	100	Sorvall	PEG Precipitation		4	MS
	PE120	1.0.0	5/7/21	100	Sorvall	PEG Precipitation		5	
	PE121	1.0.0	5/7/21	100	Sorvall	PEG Precipitation		5	
	PE122	1.0.0	5/7/21	100	Sorvall	PEG Precipitation		5	
	PE123	1.0.0	5/7/21	100	Sorvall	PEG Precipitation		5	
	PE124	1.0.0	5/14/21	100	Sorvall	PEG Precipitation		7	MVS
	PE125	1.0.0	5/14/21	100	Sorvall	PEG Precipitation		4	MVS
	PE126	1.0.0	5/18/21	100	Sorvall	PEG Precipitation		4.5	KD
	PE127	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		6	TD
	PE128	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		4	TD
	PE129	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		8	TD
	PE13	1.0.0	11/19/20	100	Sorvall	PEG Precipitation		4	MS
	PE130	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		6	TD
	PE131	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		5	TD
	PE132	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		6	TD
	PE133	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		4	TD
	PE134	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		3	TD
	PE135	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		4	TD
	PE136	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		3	TD
	PE137	1.0.0	2/13/21	100	Sorvall	PEG Precipitation		5	TD
	PE14	1.0.0	11/19/20	100	Sorvall	PEG Precipitation		3.6	MS
	PE15	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		3.6	MS
	PE16	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		3.8	MS
	PE17	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		3	MS
	PE18	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		4.8	MS
	PE19	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		4.2	MS
	PE2	1.0.0	11/9/20	100	Sorvall	PEG Precipitation		4.2	MS
	PE20	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		3.8	MS
	PE21	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		4.4	MS
	PE22	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		4.8	MS
	PE23	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		3.4	MS
	PE24	1.0.0	12/4/20	100	Sorvall	PEG Precipitation		3.8	MS
	PE25	1.0.0	12/7/20	100	Sorvall	PEG Precipitation		4	MS
	PE26	1.0.0	12/7/20	100	Sorvall	PEG Precipitation		3.2	MS
	PE27	1.0.0	12/13/20	100	Sorvall	PEG Precipitation		5	MS
	PE28	1.0.0	12/13/20	100	Sorvall	PEG Precipitation		3.8	MS
	PE29	1.0.0	12/13/20	100	Sorvall	PEG Precipitation		4	MS
	PE3	1.0.0	11/9/20	100	Sorvall	PEG Precipitation		3.4	MS
	PE30	1.0.0	12/13/20	100	Sorvall	PEG Precipitation		3.6	AT
	PE31	1.0.0	12/14/20	100	Sorvall	PEG Precipitation		3.8	AT
	PE32	1.0.0	12/14/20	100	Sorvall	PEG Precipitation		4.2	AT
	PE33	1.0.0	12/14/20	100	Sorvall	PEG Precipitation		4	AT
	PE34	1.0.0	12/14/20	100	Sorvall	PEG Precipitation		4	AT
	PE35	1.0.0	12/14/20	100	Sorvall	PEG Precipitation		4.2	AT
	PE36	1.0.0	12/21/20	100	Sorvall	PEG Precipitation		3.4	AT
	PE37	1.0.0	1/3/21	100	Sorvall	PEG Precipitation		7	MS
	PE38	1.0.0	1/3/21	100	Sorvall	PEG Precipitation		15	MS
	PE39	1.0.0	1/3/21	100	Sorvall	PEG Precipitation		6	MS
	PE4	1.0.0	11/9/20	100	Sorvall	PEG Precipitation		3.4	MS
	PE40	1.0.0	1/3/21	100	Sorvall	PEG Precipitation		5.5	MS
	PE41	1.0.0	1/3/21	100	Sorvall	PEG Precipitation		8	MS
	PE42	1.0.0	1/3/21	100	Sorvall	PEG Precipitation		7	MS
	PE43	1.0.0	1/4/21	100	Sorvall	PEG Precipitation		6	MS
	PE44	1.0.0	1/4/21	100	Sorvall	PEG Precipitation		4	MS
	PE45	1.0.0	1/4/21	100	Sorvall	PEG Precipitation		4	MS
	PE46	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE47	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE48	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE49	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		3	MS
	PE5	1.0.0	11/9/20	100	Sorvall	PEG Precipitation		5	MS
	PE50	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5	MS
	PE51	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE52	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		3	MS
	PE53	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5	MS
	PE54	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE55	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE56	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4.5	MS
	PE57	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE58	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5	MS
	PE59	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5.5	MS
	PE6	1.0.0	11/13/20	100	Sorvall	PEG Precipitation		4	MS
	PE60	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE61	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		3	MS
	PE62	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5	MS
	PE63	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE64	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5.5	MS
	PE65	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE66	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE67	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		4	MS
	PE68	1.0.0	2/5/21	100	Sorvall	PEG Precipitation		5	MS
	PE69	1.0.0	2/19/21	100	Sorvall	PEG Precipitation		4	AT
	PE7	1.0.0	11/13/20	100	Sorvall	PEG Precipitation		3.8	MS
	PE70	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		4	AT
	PE71	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		5	AT
	PE72	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		5	AT
