Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
B01-0008	87233.8748	14520.04686		WWTP	CharlestonWWTP-01	9/28/21 7:00					
A01-0147	77242.4908	38603.45118		WWTP	StarCityWWTP-01	1/8/22 0:00	14.1				
H01-0081	114918.3449	82816.40545		WWTP	MoundsvilleWWTP-01	12/4/21 8:00	1.2				
A01-0086				WWTP	StarCityWWTP-01	11/10/21 0:00	6.77				
B01-0039	7476.900481	3738.283287		WWTP	CharlestonWWTP-01	1/4/22 8:00	11.808				
A03-0130	16020.87881	13731.80721		K-12	MountainviewES-01	12/15/21 6:00					
A01-0151	260402.0834	43898.16217		WWTP	StarCityWWTP-01	1/12/22 0:00	11.6				
A02-0194	12989.42313	5566.06926		WVU Morgantown	Evansdale-01	10/27/21 9:25					
A01-0028	85586.10082	75882.39431		WWTP	StarCityWWTP-01	9/5/21 0:00	10.388				
A02-0121	16167.85884	16167.85884		WVU Morgantown	HonorsSummit-01 (MUB)	9/20/21 9:47					
A02-0166	85592.75806	121605.6854		WVU Morgantown	OaklandE-02	10/11/21 9:44					
A03-0079	0	0		K-12	MountainviewES-01	11/5/21 6:00					
C01-0035	11626.55532	7265.963145		WWTP	WheelingWWTP-01	11/8/21 7:00					
A02-0243	0	0		WVU Morgantown	OaklandE-02	12/4/21 9:00					
G02-0017				WVU Keyser	PotomacState-01	11/4/21 0:00					
A02-0002 100K	2073267.651	2061432.228		WVU Morgantown							
A03-0117	0	0		K-12	MorgantownHS-01	11/15/21 6:00					
H01-0076	67253.35412	72431.1626		WWTP	MoundsvilleWWTP-01	11/28/21 8:00	1.3				
A0048	35424	50616		WWTP	StarCityWWTP-01	12/24/20 12:00	10.973				
H01-0075	1472859.135	1038868.55		WWTP	MoundsvilleWWTP-01	1/15/22 8:00					
C01-0043	159975.8622	74331.42409		WWTP	WheelingWWTP-01	11/22/21 7:00	6.057				
A01-0122	91226.98233	77179.12808		WWTP	StarCityWWTP-01	12/10/21 0:00	12.3				
A01-0153	398902.452	119817.9987		WWTP	StarCityWWTP-01	1/16/22 0:00	8.9				
A1066	0	0		WWTP	StarCityWWTP-01	6/8/21 0:00	6.899				
E01-0011	185291.9009	140388.0425		WWTP	PrincetonWWTP-01	11/22/21 8:05	1.984				
A02-0224	2565.023387	6413.051412		WVU Morgantown	NorthHighSt-02 (MUB)	11/15/21 10:37					
A1007	0	0		WWTP	StarCityWWTP-01	3/16/21 12:01	8.66				
E01-0001	30020.01554	8335.278332		WWTP	PrincetonWWTP-01	10/26/21 8:00					
G02-0024	13450.93455	8070.042618		WVU Keyser	PotomacState-01	12/4/21 11:00					
H01-0089	5474.010604	5474.010604		WWTP	MoundsvilleWWTP-01	12/11/21 8:00	2.2				
K01-0019				WWTP	ParkersburgWWTP-01	1/17/22 6:20	5.092				
A01-0139	134117.758	160992.8933		WWTP	StarCityWWTP-01	12/29/21 0:00	13.4				
A03-0090	0	0		K-12	NorthES-01	11/10/21 6:00					
A0205	29484	29484		WWTP	StarCityWWTP-01	12/30/20 0:00	9.604				
K01-0008	63067.37177	28018.22718		WWTP	ParkersburgWWTP-01	12/14/21 6:20	4.913				
A02-0109	35069.59245	57244.17657		WVU Morgantown	CollegePark-02	9/13/21 10:13					
G01-0064	10424.62979	13900.47237		WWTP	KeyserWWTP-01	10/30/21 9:00					
A03-0052				K-12	MorgantownHS-01	10/25/21 6:00					
A03-0145	2546.666586	2546.666586		K-12	NorthES-01	12/10/21 6:00					
C01-0012	16138.10264	33902.6624		WWTP	WheelingWWTP-01	9/29/21 7:00					
A02-0140	0	3145.733718		WVU Morgantown	OaklandE-02	10/2/21 9:00					
A02-0016	24876.35112	26340.43992		WVU Morgantown	Evansdale-01	8/16/21 9:28					
A02-0191	213166.1093	191919.21		WVU Morgantown	HonorsSummit-01 (MUB)	10/25/21 10:16					
